,Region,Subregion,country,iso3_code,Indicator,Disaggregation,Gender,Source,Unit,Year,Value,Footnote
57,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1996,1.78,
58,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1996,244,
59,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1996,15.97,
60,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1996,272,
61,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1996,8.78,
62,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1997,177,
63,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1997,11.33,
64,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1997,1157,
65,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1997,75.26,
66,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1997,1334,
67,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1997,43.04,
68,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1998,87,
69,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1998,5.59,
70,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1998,573,
71,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1998,36.84,
72,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1998,660,
73,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1998,21.22,
74,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,1999,65,
75,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",1999,4.19,
76,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,1999,467,
77,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",1999,29.69,
78,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,1999,532,
79,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",1999,17.04,
80,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,2000,13,
81,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",2000,0.84,
82,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,2000,118,
83,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",2000,7.45,
84,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,2000,131,
85,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",2000,4.19,
86,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,2001,39,
87,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",2001,2.53,
88,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,2001,181,
89,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",2001,11.41,
90,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,2001,220,
91,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",2001,7.03,
92,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,2002,39,
93,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",2002,2.53,
94,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,2002,177,
95,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",2002,11.18,
96,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,2002,216,
97,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",2002,6.91,
98,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,2003,21,
99,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",2003,1.36,
100,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,2003,145,
101,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",2003,9.21,
102,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,2003,166,
103,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",2003,5.32,
104,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,Count,2004,19,
105,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,MD,"Rate per  100,000 population",2004,1.23,
106,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,Count,2004,112,
107,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,MD,"Rate per  100,000 population",2004,7.16,
108,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,Count,2004,131,
109,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),MD,"Rate per  100,000 population",2004,4.22,
110,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,Count,2005,133,
111,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,"Rate per  100,000 population",2005,8.57,
112,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,Count,2005,154,
113,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,"Rate per  100,000 population",2005,4.99,
114,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2005,21,
115,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,"Rate per  100,000 population",2005,1.37,
116,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,Count,2005,19,IPFM - Intimate partner or family member
117,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,"Rate per  100,000 population",2005,0.62,IPFM - Intimate partner or family member
118,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,Count,2005,12,IPFM - Intimate partner or family member
119,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,"Rate per  100,000 population",2005,0.77,IPFM - Intimate partner or family member
120,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2005,7,IPFM - Intimate partner or family member
121,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,"Rate per  100,000 population",2005,0.46,IPFM - Intimate partner or family member
122,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,Count,2006,72,
123,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,"Rate per  100,000 population",2006,4.68,
124,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,Count,2006,95,
125,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,"Rate per  100,000 population",2006,3.1,
126,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2006,23,
127,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,"Rate per  100,000 population",2006,1.51,
128,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,Count,2006,23,IPFM - Intimate partner or family member
129,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,"Rate per  100,000 population",2006,0.75,IPFM - Intimate partner or family member
130,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,Count,2006,9,IPFM - Intimate partner or family member
131,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,"Rate per  100,000 population",2006,0.58,IPFM - Intimate partner or family member
132,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2006,14,IPFM - Intimate partner or family member
133,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,"Rate per  100,000 population",2006,0.92,IPFM - Intimate partner or family member
134,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,Count,2007,81,
135,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,"Rate per  100,000 population",2007,5.32,
136,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,Count,2007,105,
137,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,"Rate per  100,000 population",2007,3.46,
138,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2007,24,
139,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,"Rate per  100,000 population",2007,1.59,
140,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,Count,2007,18,IPFM - Intimate partner or family member
141,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,"Rate per  100,000 population",2007,0.59,IPFM - Intimate partner or family member
142,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,Count,2007,10,IPFM - Intimate partner or family member
143,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,"Rate per  100,000 population",2007,0.66,IPFM - Intimate partner or family member
144,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2007,8,IPFM - Intimate partner or family member
145,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,"Rate per  100,000 population",2007,0.53,IPFM - Intimate partner or family member
146,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,Count,2008,74,
147,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,"Rate per  100,000 population",2008,4.9,
148,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,Count,2008,93,
149,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,"Rate per  100,000 population",2008,3.1,
150,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2008,19,
151,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,"Rate per  100,000 population",2008,1.27,
152,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,Count,2008,12,IPFM - Intimate partner or family member
153,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,"Rate per  100,000 population",2008,0.4,IPFM - Intimate partner or family member
154,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,Count,2008,7,IPFM - Intimate partner or family member
155,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,"Rate per  100,000 population",2008,0.46,IPFM - Intimate partner or family member
156,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2008,5,IPFM - Intimate partner or family member
157,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,"Rate per  100,000 population",2008,0.33,IPFM - Intimate partner or family member
158,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,Count,2009,78,
159,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,"Rate per  100,000 population",2009,5.22,
160,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,Count,2009,85,
161,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,"Rate per  100,000 population",2009,2.86,
162,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2009,7,
163,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,"Rate per  100,000 population",2009,0.47,
164,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,Count,2009,11,IPFM - Intimate partner or family member
165,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,"Rate per  100,000 population",2009,0.37,IPFM - Intimate partner or family member
166,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,Count,2009,4,IPFM - Intimate partner or family member
167,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,"Rate per  100,000 population",2009,0.27,IPFM - Intimate partner or family member
168,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2009,7,IPFM - Intimate partner or family member
169,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,"Rate per  100,000 population",2009,0.47,IPFM - Intimate partner or family member
170,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,Count,2010,108,
171,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,"Rate per  100,000 population",2010,7.27,
172,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,Count,2010,127,
173,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,"Rate per  100,000 population",2010,4.31,
174,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2010,19,
175,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,"Rate per  100,000 population",2010,1.3,
176,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,Count,2010,20,IPFM - Intimate partner or family member
177,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,"Rate per  100,000 population",2010,0.68,IPFM - Intimate partner or family member
178,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,Count,2010,5,IPFM - Intimate partner or family member
179,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,"Rate per  100,000 population",2010,0.34,IPFM - Intimate partner or family member
180,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2010,15,IPFM - Intimate partner or family member
181,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,"Rate per  100,000 population",2010,1.03,IPFM - Intimate partner or family member
182,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2011,22,
183,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,"Rate per  100,000 population",2011,1.53,
184,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,Count,2011,119,
185,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,"Rate per  100,000 population",2011,8.1,
186,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,Count,2011,142,
187,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,"Rate per  100,000 population",2011,4.85,
188,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,Count,2011,28,IPFM - Intimate partner or family member
189,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,"Rate per  100,000 population",2011,0.96,IPFM - Intimate partner or family member
190,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,Count,2011,12,IPFM - Intimate partner or family member
191,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,"Rate per  100,000 population",2011,0.81,IPFM - Intimate partner or family member
192,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2011,16,IPFM - Intimate partner or family member
193,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,"Rate per  100,000 population",2011,1.1,IPFM - Intimate partner or family member
194,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2012,26,
195,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,"Rate per  100,000 population",2012,1.81,
196,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,Count,2012,131,
197,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,"Rate per  100,000 population",2012,8.89,
198,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,Count,2012,157,
199,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,"Rate per  100,000 population",2012,5.39,
200,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,Count,2012,28,IPFM - Intimate partner or family member
201,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,"Rate per  100,000 population",2012,0.96,IPFM - Intimate partner or family member
202,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,Count,2012,14,IPFM - Intimate partner or family member
203,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Male,CTS,"Rate per  100,000 population",2012,0.95,IPFM - Intimate partner or family member
204,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,Count,2012,14,IPFM - Intimate partner or family member
205,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),Female,CTS,"Rate per  100,000 population",2012,0.97,IPFM - Intimate partner or family member
206,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,Count,2013,24,
207,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Female,CTS,"Rate per  100,000 population",2013,1.68,
208,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,Count,2013,99,
209,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Male,CTS,"Rate per  100,000 population",2013,6.79,
210,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,Count,2013,124,
211,Europe,Southern Europe,Albania,ALB,Homicide: # of victims,-,Total (all ages),CTS,"Rate per  100,000 population",2013,4.27,
212,Europe,Southern Europe,Albania,ALB,Homicide: # of victims - perpetrator IPFM,Killed by Intimate partner or family member (IPFM),All,CTS,Count,2013,28,IPFM - Intimate partner or family member
